,MATICUSDT,STXUSDT,Spread,ZScore
152,0.9927,0.274,-0.010140000000000149,-1.292600472715581
153,0.9914,0.273,-0.00778000000000012,-0.9431968753235909
154,0.997,0.273,-0.0021800000000000708,-0.26426830150532993
155,0.9927,0.272,-0.0028200000000000447,-0.2574253930831127
156,1.0014,0.274,-0.0014400000000001079,-0.0021915659024910428
157,0.9971,0.274,-0.005740000000000189,-0.5282090447023577
158,1.0073,0.277,-0.006520000000000081,-0.5651458603215244
159,1.0051,0.279,-0.016040000000000054,-1.7258317881652743
160,1.0195,0.283,-0.01627999999999985,-1.5653241618464848
161,1.0136,0.28,-0.011200000000000099,-0.8112109456305142
162,1.0202,0.279,-0.0009400000000001629,0.6637794880389933
163,1.0248,0.28,-2.220446049250313e-16,0.9927728463777845
164,1.0168,0.28,-0.00800000000000023,-0.2455206223476568
165,1.0075,0.278,-0.0099800000000001,-0.519137207974046
166,0.9834,0.272,-0.01212000000000002,-0.84621013669406
167,0.9867,0.273,-0.012480000000000047,-0.8400221131331043
168,0.9888,0.274,-0.014040000000000163,-1.107793129710295
169,0.9943,0.277,-0.019520000000000204,-1.9906488637991713
170,1.0052,0.279,-0.015940000000000065,-1.2321165226641189
171,1.0063,0.279,-0.014840000000000186,-0.9710230608468052
172,1.0103,0.284,-0.029139999999999944,-2.6262946994007583
173,0.9998,0.282,-0.032319999999999904,-2.4286536373443983
174,1.0077,0.284,-0.03173999999999988,-1.9923379902783063
175,1.0012,0.283,-0.03457999999999983,-1.9605847355529173
176,1.0043,0.285,-0.038799999999999946,-2.014245773172347
177,0.9965,0.283,-0.03927999999999987,-1.8049802167195381
178,0.9987,0.283,-0.03707999999999989,-1.450105159620335
179,1.0039,0.284,-0.035539999999999905,-1.2005350656961848
180,1.0074,0.287,-0.043019999999999836,-1.5837635458989676
181,1.0091,0.29,-0.05229999999999979,-1.9334180264612029
182,1.0082,0.287,-0.042219999999999924,-1.1386763943963973
183,0.9955,0.287,-0.05491999999999986,-1.7714879710688907
184,0.9807,0.281,-0.047760000000000136,-1.221242048273546
185,0.9872,0.284,-0.05223999999999995,-1.3929003801674626
186,0.9908,0.283,-0.04497999999999991,-0.817679089481675
187,0.9978,0.284,-0.0416399999999999,-0.5069451413520392
188,0.9959,0.284,-0.04353999999999991,-0.5805392590142515
189,0.9886,0.284,-0.050839999999999885,-1.1033843712242826
190,0.9969,0.286,-0.049859999999999904,-0.9388387001950743
191,0.9981,0.288,-0.05597999999999992,-1.444348192759497
192,0.9957,0.288,-0.058379999999999876,-1.718173191097743
193,0.994,0.288,-0.06007999999999991,-1.735611218605752
194,0.9948,0.295,-0.08489999999999986,-3.1640291313646283
195,1.0058,0.295,-0.07389999999999985,-1.9402564130694615
196,1.0033,0.297,-0.08372000000000002,-2.2586685634679147
197,1.0123,0.297,-0.07472000000000012,-1.4461751123388462
198,1.0104,0.297,-0.07662000000000013,-1.4128743688313359
199,1.0082,0.298,-0.08248000000000011,-1.6074902272590503
